brand,week_start,positive_ratio,neutral_ratio,negative_ratio,total_docs,top_keywords
samsung,2023-10-30,0.0,1.0,0.0,1,"[""가족단위의"", ""생명범죄가"", ""시작되는"", ""삼성생명""]"
samsung,2023-11-27,0.0,1.0,0.0,1,"[""들어갈때"", ""입금될때"", ""나올때"", ""지급할때"", ""완전""]"
samsung,2023-12-25,0.2,0.8,0.0,5,"[""기술이"", ""이렇게"", ""우연히"", ""봤다가"", ""오열하고""]"
samsung,2024-01-01,0.733,0.2,0.067,15,"[""소중한"", ""다시"", ""어릴"", ""부모님"", ""정말""]"
samsung,2024-01-08,0.672,0.328,0.0,58,"[""기억현상소"", ""따뜻한"", ""영상"", ""너무"", ""삼성생명""]"
samsung,2024-01-15,1.0,0.0,0.0,1,"[""기억현상소"", ""영상에"", ""많은"", ""관심"", ""주신""]"
samsung,2024-04-15,0.885,0.115,0.0,26,"[""팔색조님"", ""건강에"", ""건강"", ""저도"", ""건강한""]"
samsung,2024-04-22,0.939,0.061,0.0,66,"[""팔색조님"", ""건강에"", ""같아요"", ""저도"", ""정말""]"
samsung,2024-05-06,1.0,0.0,0.0,1,"[""당첨자"", ""많은"", ""관심"", ""이벤트"", ""입력""]"
samsung,2024-07-08,0.0,1.0,0.0,1,"[""그림에"", ""움직임이"", ""없어서"", ""부자연스럽게"", ""느낄""]"
samsung,2024-07-29,0.143,0.762,0.095,21,"[""수면"", ""같아요"", ""숙면"", ""요즘"", ""잠을""]"
samsung,2024-08-05,0.3,0.6,0.1,10,"[""수면"", ""있어서"", ""더헬스"", ""나오지"", ""자는""]"
samsung,2024-08-12,0.667,0.333,0.0,3,"[""당첨자"", ""유튜브"", ""입력"", ""예상"", ""수면""]"
samsung,2024-08-26,0.781,0.219,0.0,32,"[""챌린지"", ""들고"", ""정답"", ""퀴즈"", ""다양한""]"
samsung,2024-09-02,0.852,0.148,0.0,54,"[""챌린지"", ""들고"", ""정답"", ""삼성생명"", ""응원합니다""]"
samsung,2024-09-09,0.0,1.0,0.0,2,"[""당첨자"", ""유튜브"", ""핸들"", ""아래"", ""들어가""]"
samsung,2024-09-30,0.0,1.0,0.0,1,"[""삼성"", ""사랑"", ""합니다"", ""만이만이성장하세요"", ""삼성생명""]"
samsung,2024-10-07,0.0,1.0,0.0,1,"[""뇌병변장애인회복방법"", ""알려주세요""]"
samsung,2024-10-14,0.462,0.538,0.0,13,"[""광고가"", ""광고네요"", ""너무"", ""광고"", ""느낌""]"
samsung,2024-10-21,0.067,0.4,0.533,15,"[""들이"", ""청춘들에게"", ""삼성생명"", ""광고"", ""좋은""]"
samsung,2024-10-28,0.0,1.0,0.0,1,"[""본편"", ""이벤트"", ""나도"", ""보들챌에"", ""도전해보겠다""]"
samsung,2024-11-18,0.0,1.0,0.0,2,"[""수능"", ""다들"", ""고생"", ""많으셨어요"", ""진짜""]"
samsung,2024-11-25,0.524,0.429,0.048,21,"[""보험이"", ""너무"", ""한국"", ""정말"", ""같아요""]"
samsung,2024-12-02,0.722,0.278,0.0,54,"[""최초의"", ""한국"", ""정말"", ""보험이"", ""금융""]"
samsung,2024-12-09,0.0,1.0,0.0,1,"[""유튜브"", ""당첨자"", ""핸들"", ""삼성생명"", ""들고""]"
samsung,2025-02-03,0.5,0.5,0.0,2,"[""삼삼한"", ""날씨에"", ""함박웃음을"", ""주는"", ""미소를""]"
samsung,2025-02-10,0.6,0.4,0.0,5,"[""광고"", ""너무"", ""기존이"", ""보험회사"", ""같지""]"
samsung,2025-02-17,0.375,0.625,0.0,8,"[""당첨자"", ""영상"", ""개인정보"", ""삼성생명"", ""알람머신""]"
samsung,2025-02-24,0.5,0.5,0.0,2,"[""너무"", ""저도"", ""아버지"", ""목소리"", ""한번만""]"
samsung,2025-03-03,0.5,0.5,0.0,2,"[""시월모바일"", ""알뜰폰"", ""최고"", ""요금제"", ""싸다""]"
samsung,2025-03-10,0.0,1.0,0.0,1,"[""뭐든"", ""삼성아닌가요보험도""]"
samsung,2025-03-17,0.333,0.667,0.0,6,"[""보기만해도"", ""미소가"", ""지어지는"", ""광고"", ""아니""]"
samsung,2025-03-24,0.333,0.667,0.0,6,"[""광고네요"", ""광고"", ""젊음이"", ""기분이"", ""좋아지는""]"
samsung,2025-03-31,0.0,0.5,0.5,2,"[""장면부터"", ""마음을"", ""움직이는"", ""광고입니다"", ""니네""]"
samsung,2025-04-07,0.0,1.0,0.0,4,"[""축구선수"", ""라는줄"", ""리쿠르팅"", ""홍보네요"", ""광고""]"
samsung,2025-04-14,0.0,0.667,0.333,3,"[""낳을"", ""세에"", ""애를"", ""있는"", ""여자""]"
samsung,2025-04-21,0.5,0.5,0.0,2,"[""자기"", ""아주"", ""미쳤구나"", ""살에"", ""결혼해서""]"
samsung,2025-04-28,0.0,1.0,0.0,1,"[""사고"", ""삼성생명"", ""전학수"", ""설계사는"", ""오토바이""]"
samsung,2025-05-05,0.0,1.0,0.0,1,"[""희망도"", ""적당히줘야지"", ""뽑지도"", ""않는"", ""기업이""]"
samsung,2025-05-19,0.0,0.5,0.5,2,"[""보험사"", ""가입했는데"", ""영화"", ""같은고민을"", ""삼성은""]"
samsung,2025-06-16,0.2,0.8,0.0,5,"[""삼성생명"", ""보험은"", ""이최고죠"", ""보험의"", ""본연의""]"
samsung,2025-06-23,0.2,0.8,0.0,5,"[""요즘"", ""현실을"", ""반영한"", ""내용이"", ""마음에""]"
samsung,2025-07-07,0.0,1.0,0.0,1,"[""삼성생명"", ""언제나"", ""파이팅""]"
samsung,2025-07-14,1.0,0.0,0.0,1,"[""삼성생명"", ""보험회사가"", ""친절하고"", ""확실하게"", ""고객의""]"
samsung,2025-07-21,0.0,1.0,0.0,2,"[""삼섬에대해"", ""조금이나"", ""알겠네요"", ""정말"", ""유용해요""]"
samsung,2025-08-11,0.0,1.0,0.0,1,"[""입력"", ""당첨자"", ""부탁드립니다"", ""궁금해리"", ""알려달리""]"
samsung,2025-09-22,0.0,1.0,0.0,1,"[""힘내고"", ""자기관리"", ""철저""]"
samsung,2025-11-17,0.0,1.0,0.0,1,"[""단순히"", ""의식주"", ""자체만이"", ""아닌"", ""퀄리티가""]"
samsung,2025-12-01,0.222,0.778,0.0,36,"[""싶어요"", ""꿈을"", ""잡고"", ""싶습니다"", ""삼성생명""]"
samsung,2025-12-08,0.192,0.769,0.038,26,"[""싶습니다"", ""싶어요"", ""잡고"", ""있는"", ""꿈을""]"
samsung,2025-12-15,0.0,1.0,0.0,1,"[""당첨자"", ""삼성생명"", ""꿈잡이"", ""부탁드립니다"", ""발표""]"
samsung,2026-01-12,0.0,1.0,0.0,1,"[""아빠"", ""죄송합니다"", ""저도"", ""하늘나라가면"", ""잘못했다고""]"
samsung,2026-01-19,0.0,1.0,0.0,1,"[""아버지"", ""돌아가신지"", ""년이"", ""다되가는데"", ""점점""]"
samsung,2026-02-09,0.0,1.0,0.0,1,"[""나도아빠보고싶다"", ""이렇게갑자기돌아가실줄"", ""몰랐어요"", ""미안합니다""]"
samsung,2026-02-23,0.0,1.0,0.0,1,"[""삼성화재"", ""삼성생명"", ""삼성카드"", ""펫보험"", ""모니모까지""]"
samsung,2026-03-09,0.0,0.0,1.0,1,"[""보험사"", ""공식"", ""신용불량자"", ""보험약관대출"", ""기록""]"
samsung,2026-03-16,0.0,1.0,0.0,1,"[""금융권"", ""주택담보대출"", ""금리"", ""한도"", ""조건""]"
samsung,2026-03-23,0.371,0.629,0.0,35,"[""정말"", ""포기하지"", ""덕분에"", ""그때의"", ""너무""]"
samsung,2026-03-30,0.456,0.515,0.029,68,"[""정말"", ""내가"", ""지금의"", ""삼성생명"", ""그때의""]"
samsung,2026-04-06,0.346,0.626,0.028,107,"[""삼성생명"", ""후기"", ""가장"", ""실제"", ""후기를""]"
samsung,2026-04-13,0.372,0.628,0.0,86,"[""삼성생명"", ""후기"", ""시간"", ""항상"", ""가장""]"
samsung,2026-04-20,0.298,0.681,0.021,47,"[""삼성생명"", ""후기"", ""대구"", ""다이닝원"", ""바로""]"
samsung,2026-04-27,0.2,0.75,0.05,40,"[""삼성생명"", ""후기"", ""삼성"", ""금리"", ""금융""]"
samsung,2026-05-04,0.487,0.496,0.017,115,"[""삼성생명"", ""같이"", ""후기"", ""함께"", ""같아요""]"
samsung,2026-05-11,0.357,0.625,0.018,56,"[""삼성생명"", ""후기"", ""함께"", ""면접"", ""같이""]"
